Document ID,Document Title,Family ID,Family Title,Family Summary,Collection Title(s),Collection Description(s),Document Variant,Document Content URL,Language,Source,Geography ISOs,Geographies,First event in timeline,Last event in timeline,Full timeline of events (types),Full timeline of events (dates),Date Added to System,Last Modified on System,Internal Document ID,Internal Family ID,Internal Corpus ID,Internal Collection ID(s),Framework,Topic/Response,Hazard,Sector,Keyword,Instrument,Author,Author Type,Document URL,Family URL,Document Role,Document Type,Category
law-of-august-27-2012-1f8c,"Law of August 27, 2012",law-on-carbon-dioxide-geological-storage-and-environmental-responsibility_e22e,Law on carbon dioxide geological storage and environmental responsibility,The law on carbon dioxide geological storage and environmental responsibility of 2012 establishes a legal framework for the environmentally safe geological storage and permanent confinement of carbon dioxide. The objective of CO2 geological storage must ensure and prevent as much as possible any harmful effect on the local environment and human health.<br>&nbsp;<br>The selection of appropriate storing sites must be determined by exploration activities subject to governmental authorisation from the Ministries of the Environment and of the Interior. Storage licenses must also be granted by the government.,,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/law-of-august-27-2012_44b0e73e0245f946355b25fb757000ed.pdf,French,CCLW,LUX,Luxembourg,2012-08-27 00:00:00+00:00,2012-08-27,Passed/Approved,2012-08-27,2023-11-30,2024-10-29,CCLW.legislative.8543.rtl_84,CCLW.family.8543.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Health;Transport,Research And Development;Energy Supply,"Standards, obligations and norms|Regulation;Capacity building|Governance",,,https://climate-laws.org/documents/law-of-august-27-2012-1f8c,https://climate-laws.org/document/law-on-carbon-dioxide-geological-storage-and-environmental-responsibility_e22e,Main,Law,Legislative
law-of-june-19-2015-modifying-law-of-august-1-2007-relating-to-the-organization-of-the-natural-gas-market-c46e,"Law of June 19, 2015 Modifying Law of August 1, 2007 Relating to the Organization of the Natural Gas Market",law-on-the-natural-gas-market_baf9,Law on the natural gas market,"The law amends a number of articles of the law of August 1st, 2007, on the natural gas market. The law seeks to improve the environmental footprint of the natural gas market as well as energy efficiency on the supply and distribution side.<br>&nbsp;<br>&nbsp;The law obliges natural gas suppliers to purchase the production of biogas, gas produced by biomass or other types of gas based on renewable resources, to inject it in their networks. The law also sets targets of energy savings for suppliers.<br>&nbsp;<br>&nbsp;<br>&nbsp;<br>&nbsp;<br><br>",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/law-of-june-19-2015-modifying-law-of-august-1-2007-relating-to-the-organization-of-the-natural-gas-market_1f7e01efd645d6fdeb3cea95ab61feeb.pdf,French,CCLW,LUX,Luxembourg,2015-06-19 00:00:00+00:00,2015-06-19,Passed/Approved,2015-06-19,2023-11-30,2024-10-29,CCLW.legislative.8542.rtl_83,CCLW.family.8542.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy,Energy Supply,"Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/law-of-june-19-2015-modifying-law-of-august-1-2007-relating-to-the-organization-of-the-natural-gas-market-c46e,https://climate-laws.org/document/law-on-the-natural-gas-market_baf9,Main,Law,Legislative
law-of-march-29-2016-modifying-the-law-of-september-13-2012-creating-a-climate-pact-with-the-municipalities-3222,"Law of March 29, 2016 Modifying the Law of September 13, 2012 Creating a Climate Pact with the Municipalities",climate-pact-with-the-municipalities_7f7f,Climate Pact with the Municipalities,"The Climate Pact with the Municipalities consists of a 2012 law, amended on March 29th, 2016, that aims at encouraging greenhouse gases emissions mitigation at the municipality level. The law authorises the State to subsidy, from 2013 to 2020, the municipalities committed via the signature of a Climate Pact to apply a mitigation programme. Such a programme must comprise a quality assessment ending up in a «European Energy Award®» certificate and quantified measures.<br>&nbsp;<br>&nbsp;Several types of subsidies are elaborated to encourage municipalities to adopt and seriously commit to the Pact. These subsidies are modified in the 2016 amendment.",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/law-of-march-29-2016-modifying-the-law-of-september-13-2012-creating-a-climate-pact-with-the-municipalities_99f2075882d472c6ba7ae2dac575ff35.pdf,French,CCLW,LUX,Luxembourg,2012-09-13 00:00:00+00:00,2012-09-13,Passed/Approved,2012-09-13,2023-11-30,2024-10-29,CCLW.legislative.8537.rtl_82,CCLW.family.8537.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,LULUCF,Institutions / Administrative Arrangements,Subsidies|Economic,,,https://climate-laws.org/documents/law-of-march-29-2016-modifying-the-law-of-september-13-2012-creating-a-climate-pact-with-the-municipalities-3222,https://climate-laws.org/document/climate-pact-with-the-municipalities_7f7f,Amendment,Law,Legislative
law-of-december-23-2016-relating-to-an-aid-for-climate-loans-1a20,"Law of December 23, 2016 relating to an aid for climate loans",package-on-climate-bank-and-sustainable-housing_323f,Package on Climate Bank and Sustainable Housing,"The package on climate bank and sustainable housing of December 23th, 2016, is a broad set of laws aiming at enhancing the sustainable use of energy in the housing sector, and at instituting a climate subsidy scheme. The package consists of four new laws, and two amendments to previous laws. National regulations (Règlement grand-ducal) further details the scheme conditions set out in each law. <strong>The first law</strong> institutes a subsidy scheme to promote sustainability, rational energy use and the use of renewables in the housing sector, and modifies the <a href=""http://legilux.public.lu/eli/etat/leg/loi/2004/12/23/n1/jo"">law of December 23rd, 2004</a>, <a href=""http://legilux.public.lu/eli/etat/leg/loi/2012/12/26/n2/jo"">amended in 2012</a>, on a trading quotas scheme. It specifies the conditions to benefit the scheme, which includes specific grants for newly built personal homes and collective buildings, with regard to retrofitting, and lists the eligible installations: PV solar, thermic solar, heat pump, wood boiler, heat network and connection to a heat network. The scheme also promotes personal energy consulting in the case of retrofitting. <strong>The second law</strong> introduces a system of certification to assess the sustainability of houses and buildings, and modifies the law of February 25th, 1979 on housing subsidies. A national regulation specifies extensively the criteria of the new sustainability certificate. The certificate, which is also promoted by a subsidy, shall be accessible to any potential buyer. <strong>The third law</strong> sets rules with regard to the collection, seizure and control of housing aid cases and applicability is also determined by a national regulation. <strong>The fourth law</strong> institutes the aid framework of climate loans. These loans are an additional feature of the subsidy scheme aimed at promoting sustainable energy use in the housing sector. They include a zero-rate loan scheme to finance the acquisition of energy and retrofit systems, and apply to certain economic categories of households only. Previous regulations revised by the Package include the <a href=""http://legilux.public.lu/eli/etat/leg/rgd/2007/11/30/n7/jo"">2007 national regulation</a> and the <a href=""http://legilux.public.lu/eli/etat/leg/rmin/2013/01/16/n1/jo"">2013 ministerial regulatio</a>n on energetic performance.",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/LOI_KLIMABANK_2017_-_Banque_climatique.pdf,French,CCLW,LUX,Luxembourg,2016-12-23 00:00:00+00:00,2016-12-23,Passed/Approved,2016-12-23,2023-11-30,2024-10-29,CCLW.legislative.8536.rtl_80,CCLW.family.8536.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Buildings;Energy,Institutions / Administrative Arrangements;Energy Supply;Energy Demand,"Standards, obligations and norms|Regulation;Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/law-of-december-23-2016-relating-to-an-aid-for-climate-loans-1a20,https://climate-laws.org/document/package-on-climate-bank-and-sustainable-housing_323f,Main,Law,Legislative
easter-package-of-renewable-energy-legislation-0bcf,Easter Package of Renewable Energy Legislation,renewable-energy-sources-act-eeg-latest-version-eeg-2022_1b40,"Renewable Energy Sources Act (EEG, latest version EEG 2023)","<p><span style=""color: rgb(43, 47, 73);"">This Act (introduced in 2000, amended since) replaced the law on feeding electricity from renewable resources into the public grid of 1990. The Act has set a goal of generating 80% of electricity supply from renewable energy resources by 2030.</span></p><p><br></p><p><span style=""color: rgb(43, 47, 73);"">Below, the main features of some of the last major amendments are specified:&nbsp;</span></p><p><br></p><p><span style=""color: rgb(43, 47, 73);"">The</span><strong style=""color: rgb(43, 47, 73);""> 2012 amendment</strong><span style=""color: rgb(43, 47, 73);""> (Act amending the regulatory framework for electricity from PV)&nbsp;</span>introduced monthly tariff degressions in the national feed-in tariff (FiT), replacing the annual FiT cut that typically occurs in January. A EUR 50m (USD62.7m) research and development programme for PV storage solutions was also established, starting in January 2013.&nbsp;</p><p><br></p><p><span style=""color: rgb(43, 47, 73);"">The</span><strong style=""color: rgb(43, 47, 73);""> EEG 2014 </strong><span style=""color: rgb(43, 47, 73);"">introduced four major changes:</span></p><ul><li><span style=""color: rgb(43, 47, 73);"">A deployment corridor for wind, photovoltaics and biomass was set to avoid overshoots;</span></li><li><span style=""color: rgb(43, 47, 73);"">Direct marketing is now mandatory for all new installations (with minor exceptions);</span></li><li><span style=""color: rgb(43, 47, 73);"">It lays the foundation for tendering of support from 2017 onwards; and</span></li><li><span style=""color: rgb(43, 47, 73);"">It removes several subsidies and exemption for energy-intensive consumers and 'prosumers'.&nbsp;</span></li></ul><p><br></p><p><span style=""color: rgb(43, 47, 73);"">The </span><strong style=""color: rgb(43, 47, 73);"">EEG 2017 </strong><span style=""color: rgb(43, 47, 73);"">introduced several new key features: </span></p><ul><li><span style=""color: rgb(43, 47, 73);"">Introduction of an auction system for nearly all renewable energy sources (onshore wind, offshore wind, photovoltaic and biomass);</span></li><li><span style=""color: rgb(43, 47, 73);"">Installations of 750kW (for biomass of 150kW) will be exempt from auctions and remunerated as previously; </span></li><li><span style=""color: rgb(43, 47, 73);"">The already existing auction scheme for ground mounted PV solar systems will be extended to also cover rooftop plants and installations on other structures;</span></li><li><span style=""color: rgb(43, 47, 73);"">The permitted areas for PV solar installations will now also include commercial and industrial property, areas with a plan approval decision or projects which are, subject to further requirements, located in 'disadvantaged areas'; </span></li><li><span style=""color: rgb(43, 47, 73);"">Onshore wind: in 2017, 2018 and 2019, 2,800MW and from 2020, 2,900MW (gross) will be auctioned each year;</span></li><li><span style=""color: rgb(43, 47, 73);"">Offshore wind: up to 2030, offshore wind farms will be installed with a total capacity of 15,000 MW; and</span></li><li><span style=""color: rgb(43, 47, 73);"">The ""central 'Danish' target model"" will be introduced (the Government examines in advance the sites to be auctioned for wind farms to ensure optimal dovetailing with the grid connections and avoid a stock of grid connections having to be built and resulting in significant extra costs).</span></li></ul><p><br></p><p><span style=""color: rgb(43, 47, 73);"">The </span><strong style=""color: rgb(43, 47, 73);"">EEG 2023</strong><span style=""color: rgb(43, 47, 73);""> (latest amendment) contains the following key elements: </span></p><ul><li><span style=""color: rgb(43, 47, 73);"">The expansion target for 2030 will be raised to at least 80% of Germany’s gross electricity consumption; </span></li><li><span style=""color: rgb(43, 47, 73);"">Priority for renewable energies is made a basic principle; </span></li><li><span style=""color: rgb(43, 47, 73);"">To reach the 2030 expansion target the expansion paths have been raised significantly; </span></li><li><span style=""color: rgb(43, 47, 73);"">The maximum values in tenders for onshore wind turbines and for PV systems can be adjusted by up to 25% subject to market developments; </span></li><li><span style=""color: rgb(43, 47, 73);"">The expansion of PV systems is simplified;</span></li><li><span style=""color: rgb(43, 47, 73);"">Provides incentives for accelerated expansion of onshore wind energy;</span></li><li><span style=""color: rgb(43, 47, 73);"">Focussing biomass use on highly flexible peak load power plants;</span></li><li><span style=""color: rgb(43, 47, 73);"">Increased support for citizens’ energy</span></li><li><span style=""color: rgb(43, 47, 73);"">Further development of financial contributions by municipalities; </span></li><li><span style=""color: rgb(43, 47, 73);"">Increased support of green hydrogen;</span></li><li><span style=""color: rgb(43, 47, 73);"">The EEG levy is abolished by the new Energy Finance Act and will be financed through federal funds;</span></li><li><span style=""color: rgb(43, 47, 73);"">New regulation of energy levies; and</span></li><li><span style=""color: rgb(43, 47, 73);"">Special equalisation scheme in the area of EEG subsidies will be part of the new Energy Finance Act.</span></li></ul>",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/0406_ueberblickspapier_osterpaket.pdf,German,CCLW,DEU,Germany,2000-02-25 00:00:00+00:00,2023-01-04,Amended;Passed/Approved;Amended;Amended,2020-12-21;2000-02-25;2016-07-08;2023-01-04,2023-11-30,2024-10-29,CCLW.legislative.2072.rtl_79,CCLW.family.2072.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Buildings;Energy;Industry,Energy Supply;Renewables,"Subsidies|Economic;Tax incentives|Economic;Capacity building|Governance;Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/easter-package-of-renewable-energy-legislation-0bcf,https://climate-laws.org/document/renewable-energy-sources-act-eeg-latest-version-eeg-2022_1b40,Amendment,Law,Legislative
energy-act-2013-375a,Energy Act 2013,energy-act-2013_3396,Energy Act 2013,"<p>The Energy Act 2013 created the Contracts for Difference Scheme. The Energy Act 2013 also imposed an Emissions Performance Standard on the operators of fossil fuel plants, for plants where there is no CCS scheme in place.</p>",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/data%20%282%29.pdf,English,CCLW,GBR,United Kingdom,2013-12-18 00:00:00+00:00,2013-12-18,Passed/Approved,2013-12-18,2023-11-30,2026-01-20,CCLW.legislative.1765.rtl_73,CCLW.family.1765.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;Waste,Energy Supply;Finance,"Standards, obligations and norms|Regulation;Subsidies|Economic;Tax incentives|Economic",,,https://climate-laws.org/documents/energy-act-2013-375a,https://climate-laws.org/document/energy-act-2013_3396,Main,Act,Legislative
climate-change-act-2008-4baa,Climate Change Act 2008,climate-change-act-2008_47b4,Climate Change Act 2008,"<p>The Act provides a long-term framework to improve carbon management, to help the transition to a low carbon economy, encourage investment in low carbon goods and provide an international signal. The Act establishes a legally binding target for the UK to bring all greenhouse gas emissions to net zero by 2050. It also creates 5-yearly 'carbon budgets' as a pathway to meet the long-term target.&nbsp;</p>
<p>The Act has now established a legally binding target of at least an 100% cut in GHG emissions by 2050, to be achieved through action in the UK and abroad. Ministers must report on the policies implemented to meet carbon budgets and produce an annual report to Parliament on the status of UK emissions. The Committee on Climate Change (CCC) - an independent, expert body to advise the government on the level of carbon budgets and on progress in meeting these budgets - submits annual reports to Parliament on progress towards targets and budgets. The government must respond to the reports, ensuring transparency and accountability.&nbsp;</p>
<p>The Act sets up a carbon budgeting system that caps emissions over 5-year periods, with three budgets set at a time, to help the UK stay on track for its 2050 target. The first three carbon budgets run from 2008-2012, 2013-2017 and 2018-2022, and were set in law in May 2009. The fourth carbon budget, for 2023-2027 approved by parliament in 2011 and reviewed in 2014, puts into law a target to reduce emissions by 50% from 1990 levels by 2025 (the midpoint of the budget period). The government must report to Parliament its policies and proposals to meet the budgets and set a limit on the purchase of carbon credits for each budgetary period - for the first budgetary period, a zero limit was set in May 2009, excluding units bought by UK participants in the EU Emissions Trading System.&nbsp;</p>
<p>For the second budget period, a limit of 55MtCO2e was set. The Act also gives powers to introduce domestic emissions trading schemes more quickly and easily through secondary legislation - the first use has been to introduce the Carbon Reduction Commitment Energy Efficiency Scheme. The Act introduced measures on biofuels and powers to introduce pilot financial incentive schemes in England for household waste. The Act requires, by the end of 2012, the inclusion of international aviation and shipping emissions in the net carbon account, or an explanation to Parliament why not. The government announced in December 2012 that this decision would be deferred, recognising uncertainty over the international framework for reducing aviation emissions and particularly the treatment of aviation within the EU ETS. The new net zero target still excludes aviation and shipping. The government must report at least every 5 years on the risks to the UK of climate change, and publish a programme setting out how these will be addressed. The first such climate change risk assessment was published in 2012.&nbsp;</p>
<p>The Act also introduces powers for government to require public bodies and statutory undertakers to carry out their own risk assessment and make plans to address those risks. The Act introduces an Adaptation Sub-Committee of the Committee on Climate Change, providing advice to, and scrutiny of, the Government's adaptation work.</p>
",UK Climate Change Act,"The UK Climate Change Act, first passed in 2008 and amended in 2019, is the UK's framework law for the transition to a low-carbon economy, creating an obligation for the government to set legally-binding carbon budgets to act as stepping stones towards an overall 2050 emissions reduction target.",,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/data%20%281%29.pdf,English,CCLW,GBR,United Kingdom,2008-11-26 00:00:00+00:00,2019-06-26,Amended;Passed/Approved,2019-06-26;2008-11-26,2023-11-30,2024-10-29,CCLW.legislative.1755.rtl_71,CCLW.family.1755.0,CCLW.corpus.i00000001.n0000,CCLW.collection.1755.0,Adaptation;Mitigation,Adaptation;Mitigation,Changes In Air Quality,Waste;Transport;Economy-wide;Energy,Adaptation;Carbon Pricing;Institutions / Administrative Arrangements;Energy Supply;Research And Development;Transport;Energy Demand,"Provision of climate funds|Direct Investment;Institutional mandates|Governance;Processes, plans and strategies|Governance;Subnational and citizen participation|Governance;MRV|Governance;Research & Development, knowledge generation|Information",,,https://climate-laws.org/documents/climate-change-act-2008-4baa,https://climate-laws.org/document/climate-change-act-2008_47b4,Main,Act,Legislative
the-feed-in-tariffs-amendment-coronavirus-order-2020-56e4,The Feed-in Tariffs (Amendment) (Coronavirus) Order 2020,feed-in-tariffs-for-renewable-electricity_0092,Feed-in Tariffs for renewable electricity,"<p>Offers feed-in tariffs (FITs) for small-scale low-carbon electricity installed by householders, businesses and communities, even if the electricity is consumed on-site. Additional payment is provided for electricity fed into the grid.<br> <br> FITs vary according to technology, last between 10 and 25 years and are adjusted for inflation. They apply to hydro, anaerobic digestion, wind and solar PV technologies under 5MW, and a pilot scheme for micro Combined Heat and Power (CHP) has been launched. Generators with installations of 50kW or less must be installed and accredited by the Microgeneration Certification Scheme (MCS), an independent certification scheme. Installations with capacities greater than 50kW will need to contact Ofgem and seek accredita-tion through a process similar to the Renewables Obligation (RO).<br> <br> The old FIT scheme closed on January 14th, 2016. A new scheme opened on February 8th,2016, with different <a href=""https://www.ofgem.gov.uk/environmental-programmes/fit/fit-tariff-rates"" target=""_self"">tariff rates and rules</a> - including a limit on the number of installations supported. Applications received prior to January 14th, 2016, still benefit from the old FIT scheme.<br><br>On March 30th, 2020, the government adopted the Feed-in Tariffs (Amendment) (Coronavirus) Order 2020 in order to grant small-scale producers additional time to seek entering the FIT scheme. This applied only to applications registered before 2019.</p>
",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/data.pdf,English,CCLW,GBR,United Kingdom,2010-04-01 00:00:00+00:00,2020-03-31,Amended;Passed/Approved;Amended,2020-03-31;2010-04-01;2014-07-14,2023-11-30,2024-10-29,CCLW.legislative.1754.rtl_70,CCLW.family.1754.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;Transport,COVID-19;Energy Supply,"Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/the-feed-in-tariffs-amendment-coronavirus-order-2020-56e4,https://climate-laws.org/document/feed-in-tariffs-for-renewable-electricity_0092,Amendment,Order,Legislative
law-no-220-of-october-27-2008-republished-for-establishing-the-system-of-promoting-energy-from-renewable-energy-sources-2b0b,"Law no. 220 of October 27, 2008 (republished) for establishing the system of promoting energy from renewable energy sources",law-no-220-2008-for-the-promotion-of-energy-production-from-renewable-energy-sources_6eb8,Law no 220/2008 for the promotion of energy production from renewable energy sources,"<p>Law 220/2008 provides the legal framework for expanding the production and use of electricity from renewable sources. Objectives include reducing production costs and primary energy imports, balance in national energy use, reduction of pollutant emissions, and providing a financial and operational framework. The law applies to hydropower with an installed capacity of 10MW, wind, solar, geothermal, biomass, landfill gas, and fermentation gas from sludge treatment plants delivered to the grid. The law established a framework for a mandatory renewable energy quota system or combined with green certificates trading system at a fixed price. Further it established a target of share of renewable energy sources in final energy consumption to be 33% in 2010, 35% in 2015 and 38% in 2020. This law has been amended several times. The first amendment 134/2012, adopted on 18 July 2012, introduced changes in reporting protocols and a new category of energy from forest waste within Biomass. A later amendment, Law 23/2014 (adopted on 14 March 2014) made renewable energy production companies' use of green certificates conditional on their performance based on national objectives and impact on the end users. Law No. 122/2015 for the approval of certain measures regarding the promotion of the production of electricity from renewable energy sources and regarding the modification and completion of certain normative acts further amends the 2008 text. It establishes accerditation rules for power plants with a capacity above 250 MW and opens the national regulatory system to imported renewable energy. Law no 184/2018 was enacted to approve through an emergency mechanism government ordinance no 24/2017 which amends and complete the 2008 law. The 2018 modifies the methodology to calculate the green certificates in order to balance the protection of final consumers with the financial stability of producers.</p>
",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/Legea-nr-220-din-2008-actualizata.pdf,Romanian,CCLW,ROU,Romania,2008-10-27 00:00:00+00:00,2018-01-01,Passed/Approved;Amended,2008-10-27;2018-01-01,2023-11-30,2024-10-29,CCLW.legislative.1585.rtl_66,CCLW.family.1585.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;LULUCF;Waste,Institutions / Administrative Arrangements;Energy Supply,"Standards, obligations and norms|Regulation",,,https://climate-laws.org/documents/law-no-220-of-october-27-2008-republished-for-establishing-the-system-of-promoting-energy-from-renewable-energy-sources-2b0b,https://climate-laws.org/document/law-no-220-2008-for-the-promotion-of-energy-production-from-renewable-energy-sources_6eb8,Main,Law,Legislative
law-no-155-of-july-24-2020-for-the-modification-and-completion-of-the-law-on-electricity-and-natural-gas-no-1232012-and-regarding-the-modification-and-completion-of-other-normative-acts-b4f0,"Law no. 155 of July 24, 2020 for the modification and completion of the Law on electricity and natural gas no. 123/2012 and regarding the modification and completion of other normative acts",law-no-123-of-july-10-2012-of-electricity-and-natural-gas_d3a4,"Law no. 123 of July 10, 2012 of electricity and natural gas","The law established a legal framework for establishing the free functioning of the National Energy Regulatory authority (ANRE, which replaced the Romanian National Energy Conservation Authority) to regulate electricity and heat production and its use to enable optimal use of primary energy sources, ensure availability and affordability, safety, quality and environmental protection based on the National Energy Strategy.It also established a framework for cogeneration, diversification of energy resources, transparency of tariffs prices and taxes, promotion of renewable energy and reduction in consumption.<br><br>The law was amended on May 19, 2020, by Government Emergency Ordinance no. 74/2020 to expand the possibility of contracting power purchase agreements. This Ordinance was motivated by the desire to improve the uptake of renewable energy in the country.<br><br>Law no. 155 of July 27, 2020, amends and supplements Law no. 123/2012 and other normative acts. It notably sets the legal framework for licensing around hydrogen and amend tariffs rules.<br><br>Law no. 290/2020 amends the law to transpose EU Directive 2019/692 (amending Directive 2009/73/EC).",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/Legea_155_2020%20%281%29.pdf,Romanian,CCLW,ROU,Romania,2012-07-19 00:00:00+00:00,2020-07-27,Amended;Amended;Passed/Approved,2020-07-27;2020-05-19;2012-07-19,2023-11-30,2024-10-29,CCLW.legislative.1582.rtl_65,CCLW.family.1582.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy,Institutions / Administrative Arrangements;Energy Supply;Energy Demand;Renewables,"Subsidies|Economic;Processes, plans and strategies|Governance",,,https://climate-laws.org/documents/law-no-155-of-july-24-2020-for-the-modification-and-completion-of-the-law-on-electricity-and-natural-gas-no-1232012-and-regarding-the-modification-and-completion-of-other-normative-acts-b4f0,https://climate-laws.org/document/law-no-123-of-july-10-2012-of-electricity-and-natural-gas_d3a4,Amendment,Law,Legislative
planning-act-3702,Planning Act,planning-act-no-937-of-2009-consolidated-no-587-of-2013-no-50-2018_6610,Planning Act (No. 937 of 2009; consolidated No. 587 of 2013; no. 50/2018),"<p>Consolidated and updated act on land use planning to ensure a sustainable land use that supports multiple purposes such as environmental protection, adaptation to climate change, habitats for wild life and protection of biodiversity. The act requires local authorities and municipalities to provide plans and strategies on how this overall objective of sustainable development and land use can be achieved in their specific circumstances to sustainably manage human living conditions.<br> <br> It implements the European Council Directive on the assessment of the effects of certain public and private projects on the environment (1985 and 1997) and was implemented in 2011. It was further amended by the Act on the assessment and management of flood risk from rivers and lakes (2009), the act amending the Planning Act (2013), the act amending the Planning Law (2011), the act amending the Nature Protection Act, Planning Act, Act on watercourses and various other laws (2011), the act amending the Environmental Protection Act, the Planning Act and various other Acts (2011) and the act amending Nature and Environmental Act and others (2012).</p>
",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/A20200115729%20%281%29.pdf,Danish,CCLW,DNK,Denmark,2009-10-01 00:00:00+00:00,2018-04-16,Passed/Approved;Amended,2009-10-01;2018-04-16,2023-11-30,2024-10-29,CCLW.legislative.1158.rtl_62,CCLW.family.1158.0,CCLW.corpus.i00000001.n0000,,,Adaptation;Mitigation,,Environment;LULUCF;Water,Adaptation;Institutions / Administrative Arrangements;Transport;REDD+ And LULUCF;Energy Demand,"Processes, plans and strategies|Governance;Subnational and citizen participation|Governance",,,https://climate-laws.org/documents/planning-act-3702,https://climate-laws.org/document/planning-act-no-937-of-2009-consolidated-no-587-of-2013-no-50-2018_6610,Main,Law,Legislative
carbon-dioxide-tax-on-certain-energy-products-act-3212011-49fb,Carbon Dioxide Tax on Certain Energy Products - Act 321/2011,carbon-dioxide-tax-on-certain-energy-products-act-321-2011_44d3,Carbon Dioxide Tax on Certain Energy Products - Act 321/2011,"<p>Tax on certain energy products to discourage their extensive consumption, used in conjunction with the energy tax. Includes fuels for transport and energy generation as well as products with high carbon intensity.</p>
",,,,https://cpr-prod-cclw-document-admin-store.s3.eu-west-1.amazonaws.com/A20110032129%20%282%29.pdf,Danish,CCLW,DNK,Denmark,2011-04-04 00:00:00+00:00,2023-12-28,Passed/Approved;Amended,2011-04-04;2023-12-28,2023-11-30,2024-10-29,CCLW.legislative.1155.rtl_61,CCLW.family.1155.0,CCLW.corpus.i00000001.n0000,,,Mitigation,,Energy;Transport,Carbon Pricing;Energy Demand,Tax incentives|Economic,,,https://climate-laws.org/documents/carbon-dioxide-tax-on-certain-energy-products-act-3212011-49fb,https://climate-laws.org/document/carbon-dioxide-tax-on-certain-energy-products-act-321-2011_44d3,Main,Law,Legislative
